X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2723723941737,44.9756316266575,00008X 8TH ST S,MP2021702714        ,1     ,2021/04/23 00:00:00+00,1804,2021/04/09 00:00:00+00,2021/04/23 18:04:00+00,1430,SHOPLF  ,SHOPLIFTING                   ,07 ,2021/04/26 00:00:00+00,17052,-93.27237593,44.97563254,-10383033,5617686,Downtown West,2021/04/27 00:00:00+00,2021/04/28 07:00:27+00,4105
-93.2414254326358,44.9814522815741,0010XX UNIVERSITY AVE SE,MP2021702716        ,2     ,2021/04/24 00:00:00+00,236,2021/04/24 00:00:00+00,2021/04/24 02:36:00+00,10,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,17721,-93.24143329,44.98145779,-10379588,5618602,Marcy Holmes,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4106
-93.2729832485669,44.9865544002327,0004XX 2ND ST N,MP2021702717        ,1     ,2021/04/24 00:00:00+00,1209,2021/04/24 00:00:00+00,2021/04/24 12:09:00+00,1140,BIKETF  ,BIKE THEFT                    ,07,2021/04/26 00:00:00+00,14828,-93.27299012,44.98655449,-10383101,5619405,North Loop,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4107
-93.2353797707736,44.9809757217759,0004XX 14TH AVE SE,MP2021702718        ,2     ,2021/04/24 00:00:00+00,1222,2021/04/23 00:00:00+00,2021/04/24 12:22:00+00,2210,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,16640,-93.23538811,44.98098175,-10378915,5618527,Marcy Holmes,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4108
-93.2610536215938,44.967986353683,,MP2021702720        ,1     ,2021/04/24 00:00:00+00,1350,2021/04/23 00:00:00+00,2021/04/24 13:50:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/04/26 00:00:00+00,,-93.26106,44.96799,-10381773,5616483,Elliot Park,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4109
-93.2707105108981,44.9865798143821,0003XX 1ST ST N,MP2021702721        ,1     ,2021/04/24 00:00:00+00,1519,2021/02/26 00:00:00+00,2021/04/24 15:19:00+00,1500,BIKETF  ,BIKE THEFT                    ,07,2021/04/26 00:00:00+00,19561,-93.27071508,44.98658121,-10382848,5619409,North Loop,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4110
-93.2384430258925,45.0086858552722,0019XX LINCOLN ST NE,MP2021702722        ,2     ,2021/04/24 00:00:00+00,1654,2021/04/21 00:00:00+00,2021/04/24 16:54:00+00,1529,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,17218,-93.23844415,45.00868595,-10379256,5622889,Windom Park,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4111
-93.2855506793917,44.9483569141988,,MP2021702725        ,5     ,2021/04/25 00:00:00+00,957,2021/04/19 00:00:00+00,2021/04/25 09:57:00+00,940,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,,-93.28555,44.94836,-10384500,5613395,Whittier,2021/04/27 00:00:00+00,2021/04/28 07:00:27+00,4112
-93.2348138321446,44.9839811592843,,MP2021702729        ,2     ,2021/04/25 00:00:00+00,1149,2021/04/23 00:00:00+00,2021/04/25 11:49:00+00,2000,TMVP    ,THEFT-MOTR VEH PARTS          ,07 ,2021/04/26 00:00:00+00,,-93.23482,44.98398,-10378852,5619000,Marcy Holmes,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4113
-93.272749686593,44.9592022468713,,MP2021702730        ,5     ,2021/04/25 00:00:00+00,1850,2021/04/21 00:00:00+00,2021/04/25 18:50:00+00,2200,BIKETF  ,BIKE THEFT                    ,07,2021/04/26 00:00:00+00,,-93.27275,44.9592,-10383075,5615101,Whittier,2021/04/27 00:00:00+00,2021/04/28 07:00:27+00,4114
-93.2353797707736,44.9809757217759,0004XX 14TH AVE SE,MP2021702733        ,2     ,2021/04/25 00:00:00+00,2158,2021/04/24 00:00:00+00,2021/04/25 21:58:00+00,2230,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,16640,-93.23538811,44.98098175,-10378915,5618527,Marcy Holmes,2021/04/26 00:00:00+00,2021/04/27 08:09:32+00,4115
-93.314611178833,44.9495076592283,0027XX LAKE ST W,MP2021702735        ,5     ,2021/04/24 00:00:00+00,2024,2021/04/24 00:00:00+00,2021/04/24 20:24:00+00,1930,THEFT   ,OTHER THEFT                   ,07 ,2021/04/26 00:00:00+00,23135,-93.31461307,44.94950994,-10387735,5613576,Cedar - Isles - Dean,2021/04/27 00:00:00+00,2021/04/28 07:00:27+00,4116
-93.2582059621431,44.998707431302,0006XX BROADWAY ST NE,MP2021702736        ,2     ,2021/04/26 00:00:00+00,831,2021/04/24 00:00:00+00,2021/04/26 08:31:00+00,2000,BURGD   ,BURGLARY OF DWELLING          ,06 ,2021/04/26 00:00:00+00,15682,-93.25820923,44.99870889,-10381456,5621318,Sheridan,2021/04/28 00:00:00+00,2021/04/29 07:03:23+00,4117
